help_keyword_id,name
166,POLYGONFROMTEXT
167,COLLATE
168,BYTE
169,LINESTRINGFROMWKB
170,GLOBAL
171,BERKELEYDB
172,WHEN
173,HAVING
174,AS
175,STARTING
176,RELOAD
177,AUTOCOMMIT
178,REVOKE
179,GRANTS
180,OUTER
181,FLOOR
182,WITH
183,STD
184,AFTER
185,CSV
186,DISABLE
187,OUTFILE
188,LOW_PRIORITY
189,FILE
190,BDB
191,SCHEMA
192,SONAME
193,POW
194,MULTIPOINTFROMWKB
195,INDEX
196,DUAL
197,MULTIPOINTFROMTEXT
198,BACKUP
199,MULTILINESTRINGFROMWKB
200,EXTENDED
201,CROSS
202,NATIONAL
203,GROUP
204,SHA
205,UNDO
206,ZEROFILL
207,CLIENT
208,MASTER_PASSWORD
209,RELAY_LOG_FILE
210,TRUE
211,CHARACTER
212,MASTER_USER
213,TABLE
214,ENGINE
215,INSERT_METHOD
216,CASCADE
217,RELAY_LOG_POS
218,SQL_CALC_FOUND_ROWS
219,UNION
220,MYISAM
221,LEAVE
222,MODIFY
223,MATCH
224,MASTER_LOG_POS
225,DESC
226,DISTINCTROW
227,TIME
228,NUMERIC
229,EXPANSION
230,CURSOR
231,CODE
232,GEOMETRYCOLLECTIONFROMTEXT
233,CHAIN
234,FLUSH
235,CREATE
236,DESCRIBE
237,MAX_UPDATES_PER_HOUR
238,INT2
239,PROCESSLIST
240,LOGS
241,HEAP
242,SOUNDS
243,BETWEEN
244,MULTILINESTRINGFROMTEXT
245,REPAIR
246,PACK_KEYS
247,CALL
248,FAST
249,VALUES
250,LOOP
251,VARCHARACTER
252,BEFORE
253,TRUNCATE
254,SHOW
255,REDUNDANT
256,ALL
257,USER_RESOURCES
258,PARTIAL
259,BINLOG
260,END
261,SECOND
262,AND
263,FLOAT8
264,PREV
265,HOUR
266,SELECT
267,DATABASES
268,OR
269,IDENTIFIED
270,MASTER_SSL_CIPHER
271,SQL_SLAVE_SKIP_COUNTER
272,BOTH
273,BOOL
274,YEAR
275,MASTER_PORT
276,CONCURRENT
277,HELP
278,UNIQUE
279,TRIGGERS
280,PROCESS
281,CONSISTENT
282,MASTER_SSL
283,DATE_ADD
284,MAX_CONNECTIONS_PER_HOUR
285,LIKE
286,FETCH
287,IN
288,COLUMN
289,DUMPFILE
290,USAGE
291,EXECUTE
292,MEMORY
293,CEIL
294,QUERY
295,MASTER_HOST
296,LINES
297,SQL_THREAD
298,MAX_QUERIES_PER_HOUR
299,MULTIPOLYGONFROMWKB
300,MASTER_SSL_CERT
301,DAY_MINUTE
302,TRANSACTION
303,STDDEV
304,DATE_SUB
305,GEOMETRYFROMWKB
306,INT1
307,RENAME
308,ALTER
309,MAX_ROWS
310,RIGHT
311,STRAIGHT_JOIN
312,NATURAL
313,VARIABLES
314,ESCAPED
315,SHA1
316,PASSWORD
317,CHAR
318,OFFSET
319,NEXT
320,SQL_LOG_BIN
321,ERRORS
322,TEMPORARY
323,COMMITTED
324,SQL_SMALL_RESULT
325,UPGRADE
326,DELAY_KEY_WRITE
327,BEGIN
328,PROFILE
329,MEDIUM
330,INTERVAL
331,SSL
332,DAY_HOUR
333,REFERENCES
334,AES_ENCRYPT
335,STORAGE
336,ISOLATION
337,CEILING
338,INT8
339,RESTRICT
340,LINESTRINGFROMTEXT
341,UNCOMMITTED
342,IS
343,NOT
344,ANALYSE
345,DES_KEY_FILE
346,COMPRESSED
347,START
348,SAVEPOINT
349,IF
350,PRIMARY
351,PURGE
352,USER
353,INNOBASE
354,LAST
355,EXIT
356,KEYS
357,LIMIT
358,KEY
359,MERGE
360,UNTIL
361,SQL_NO_CACHE
362,DELAYED
363,ANALYZE
364,CONSTRAINT
365,SERIAL
366,ACTION
367,WRITE
368,SESSION
369,DATABASE
370,NULL
371,POWER
372,USE_FRM
373,SLAVE
374,TERMINATED
375,NVARCHAR
376,ASC
377,ENABLE
378,OPTIONALLY
379,DIRECTORY
380,WHILE
381,MAX_USER_CONNECTIONS
382,DISTINCT
383,AES_DECRYPT
384,LOCAL
385,MASTER_SSL_KEY
386,NONE
387,TABLES
388,<>
389,RLIKE
390,TRIGGER
391,COLLATION
392,SHUTDOWN
393,HIGH_PRIORITY
394,BTREE
395,FIRST
396,TYPES
397,MASTER
398,FIXED
399,MULTIPOLYGONFROMTEXT
400,ROW_FORMAT

